sub	 task	 sess	 trl	 item	 acc	     rts
107	    1	    5	  91	    1	   1	  509.88
107	    1	    5	  92	    9	   1	  695.37
107	    1	    5	  93	   11	   1	  460.40
107	    1	    5	  94	    3	   1	  450.73
107	    1	    5	  95	   11	   1	  516.52
107	    1	    5	  96	    1	   1	  487.24
107	    1	    5	  97	    9	   1	  741.52
107	    1	    5	  98	    9	   1	  474.47
107	    1	    5	  99	    1	   1	  466.80
107	    1	    5	 100	    3	   1	  380.76
107	    1	    5	 101	    9	   1	  663.05
107	    1	    5	 102	    3	   1	  470.11
107	    1	    5	 103	    3	   1	  480.80
107	    1	    5	 104	   11	   1	  481.42
107	    1	    5	 105	    3	   1	  448.59
107	    1	    5	 106	    5	   1	  898.40
107	    1	    5	 107	    1	   1	  447.54
107	    1	    5	 108	   11	   1	  546.26
107	    1	    5	 109	    9	   1	  548.04
107	    1	    5	 110	    9	   1	  597.24
107	    1	    5	 111	    7	   1	 1302.20
107	    1	    5	 112	   11	   1	  455.38
107	    1	    5	 113	   11	   1	  452.01
107	    1	    5	 114	    7	   1	  899.75
107	    1	    5	 115	   11	   1	  399.24
107	    1	    5	 116	    7	   1	 1192.40
107	    1	    5	 117	    9	   1	  483.45
107	    1	    5	 118	   11	   1	  431.39
107	    1	    5	 119	    7	   1	  750.87
107	    1	    5	 120	    3	   1	  489.30
107	    1	    6	   1	   11	   1	  495.34
107	    1	    6	   2	    3	   1	  802.98
107	    1	    6	   3	    3	   1	  645.48
107	    1	    6	   4	    9	   1	  826.95
107	    1	    6	   5	   11	   1	  490.92
107	    1	    6	   6	   11	   1	  445.99
107	    1	    6	   7	    1	   1	  616.71
107	    1	    6	   8	    1	   1	  613.49
107	    1	    6	   9	   11	   1	  603.51
107	    1	    6	  11	   11	   1	  419.29
107	    1	    6	  12	    7	   1	  977.58
107	    1	    6	  13	    5	   1	  507.23
107	    1	    6	  14	    1	   1	  525.67
107	    1	    6	  15	   11	   1	  625.15
107	    1	    6	  16	    1	   1	  583.12
107	    1	    6	  17	    1	   1	  517.47
107	    1	    6	  18	    9	   1	  722.01
107	    1	    6	  19	    7	   1	 1464.10
107	    1	    6	  20	    9	   1	  472.39
107	    1	    6	  21	    3	   1	  636.58
107	    1	    6	  22	    9	   1	  868.67
107	    1	    6	  23	    9	   1	  530.58
107	    1	    6	  24	    7	   1	 1000.90
107	    1	    6	  25	    1	   1	  607.44
107	    1	    6	  26	    9	   1	  832.40
107	    1	    6	  27	   11	   1	  471.89
107	    1	    6	  28	    3	   1	  701.41
107	    1	    6	  29	    9	   1	  590.64
107	    1	    6	  30	    1	   1	  537.14
107	    1	    6	  31	    5	   1	 1161.00
107	    1	    6	  32	    7	   1	 1301.30
107	    1	    6	  33	    9	   1	  568.33
107	    1	    6	  34	    3	   1	  494.59
107	    1	    6	  35	    1	   1	  517.72
107	    1	    6	  36	    5	   1	 1209.10
107	    1	    6	  38	    9	   1	  697.98
107	    1	    6	  39	    3	   1	  725.51
107	    1	    6	  40	    1	   1	  583.07
107	    1	    6	  42	   11	   1	  590.89
107	    1	    6	  44	    5	   1	 1334.70
107	    1	    6	  45	   11	   1	  552.48
107	    1	    6	  46	    7	   1	 1142.60
107	    1	    6	  47	    3	   1	 1008.50
107	    1	    6	  48	    3	   1	  432.08
107	    1	    6	  49	    5	   1	  814.54
107	    1	    6	  50	   11	   1	  474.00
107	    1	    6	  51	    9	   1	  529.06
107	    1	    6	  52	    7	   1	 1012.20
107	    1	    6	  53	    9	   1	  572.78
107	    1	    6	  54	    5	   1	  919.97
107	    1	    6	  55	    3	   1	  563.35
107	    1	    6	  56	    7	   1	  790.68
107	    1	    6	  57	    3	   1	  474.69
107	    1	    6	  58	    7	   1	 1354.30
107	    1	    6	  59	    3	   1	  512.01
107	    1	    6	  60	    3	   1	  523.62
107	    1	    6	  61	    3	   1	  525.33
107	    1	    6	  62	   11	   1	  503.12
107	    1	    6	  63	    9	   1	  777.46
107	    1	    6	  64	    5	   1	 1135.50
107	    1	    6	  65	    9	   1	  682.70
107	    1	    6	  66	    3	   1	  612.64
107	    1	    6	  67	   11	   1	  531.61
107	    1	    6	  68	    3	   1	  491.91
107	    1	    6	  69	    7	   1	  925.21
107	    1	    6	  70	    5	   1	  512.82
107	    1	    6	  71	    3	   1	  454.06
107	    1	    6	  72	    1	   1	  432.86
107	    1	    6	  73	   11	   1	  498.10
107	    1	    6	  74	    1	   1	  492.52
107	    1	    6	  75	    1	   1	  437.07
107	    1	    6	  76	    3	   1	  632.88
107	    1	    6	  78	    5	   1	  568.99
107	    1	    6	  79	    1	   1	  515.03
107	    1	    6	  80	   11	   1	  512.39
107	    1	    6	  81	    7	   1	  751.08
107	    1	    6	  82	    7	   1	 1538.60
107	    1	    6	  83	    1	   1	  513.66
107	    1	    6	  84	    5	   1	  721.68
107	    1	    6	  85	    9	   1	  621.49
107	    1	    6	  86	    7	   1	  733.56
107	    1	    6	  87	    9	   1	  547.37
107	    1	    6	  88	    7	   1	  893.77
107	    1	    6	  89	    5	   1	  598.45
107	    1	    6	  90	   11	   1	  550.03
107	    1	    6	  91	    9	   1	  778.24
107	    1	    6	  92	    5	   1	  726.18
107	    1	    6	  93	    1	   1	  520.93
107	    1	    6	  94	    9	   1	  624.80
107	    1	    6	  95	    1	   1	  774.23
107	    1	    6	  96	   11	   1	  674.46
107	    1	    6	  97	    3	   1	  482.06
107	    1	    6	  98	    5	   1	  742.81
107	    1	    6	  99	    5	   1	 1518.70
107	    1	    6	 101	    1	   1	  455.05
107	    1	    6	 102	    1	   1	  408.91
107	    1	    6	 103	    5	   1	  842.51
107	    1	    6	 104	    3	   1	  481.62
107	    1	    6	 105	    9	   1	  743.63
107	    1	    6	 106	    5	   1	  829.63
107	    1	    6	 107	    5	   1	 1132.70
107	    1	    6	 108	   11	   1	  496.05
107	    1	    6	 109	    7	   1	  891.28
107	    1	    6	 110	    5	   1	 1179.70
107	    1	    6	 111	    7	   1	  899.41
107	    1	    6	 112	    7	   1	  462.17
107	    1	    6	 113	    1	   1	  499.59
107	    1	    6	 115	    5	   1	 1240.70
107	    1	    6	 117	    7	   1	 1142.60
107	    1	    6	 118	    1	   1	  438.91
107	    1	    6	 119	    7	   1	  767.84
107	    1	    6	 120	   11	   1	  538.13
107	    2	    2	   1	    4	   1	  493.39
107	    2	    2	   2	    8	   1	  509.20
107	    2	    2	   3	    2	   1	  466.80
107	    2	    2	   4	    6	   0	 1069.20
