sub	 task	 sess	 trl	 item	 acc	     rts
106	    1	    3	  64	    1	   1	  395.70
106	    1	    3	  65	    5	   1	  386.95
106	    1	    3	  66	    9	   1	  420.25
106	    1	    3	  67	    5	   0	 1681.40
106	    1	    3	  68	    9	   1	  516.80
106	    1	    3	  69	    3	   1	  381.48
106	    1	    3	  70	   11	   1	  393.29
106	    1	    3	  71	    9	   1	  360.16
106	    1	    3	  72	    7	   1	  766.95
106	    1	    3	  73	    7	   1	  501.50
106	    1	    3	  74	    3	   1	  435.80
106	    1	    3	  75	    9	   1	  365.05
106	    1	    3	  76	   11	   1	  378.31
106	    1	    3	  77	   11	   1	  413.18
106	    1	    3	  78	    9	   1	  358.96
106	    1	    3	  79	    7	   1	 1132.10
106	    1	    3	  80	    9	   1	  411.85
106	    1	    3	  81	    5	   1	  661.12
106	    1	    3	  82	   11	   1	  399.50
106	    1	    3	  83	   11	   1	  401.55
106	    1	    3	  84	    7	   0	  559.69
106	    1	    3	  85	   11	   1	  385.70
106	    1	    3	  86	   11	   1	  401.63
106	    1	    3	  87	    7	   0	  722.47
106	    1	    3	  88	    7	   1	  401.67
106	    1	    3	  89	    1	   1	  437.15
106	    1	    3	  90	    5	   1	  409.20
106	    1	    3	  91	    3	   1	  325.79
106	    1	    3	  92	    9	   1	  475.33
106	    1	    3	  93	    3	   1	  368.66
106	    1	    3	  94	    3	   1	  435.19
106	    1	    3	  95	    1	   1	  373.20
106	    1	    3	  96	    1	   1	  454.65
106	    1	    3	  97	    5	   1	  431.70
106	    1	    3	  98	    1	   1	  411.05
106	    1	    3	  99	    3	   1	  356.32
106	    1	    3	 100	    3	   1	  394.00
106	    1	    3	 101	    5	   1	  645.97
106	    1	    3	 102	   11	   1	  444.11
106	    1	    3	 103	    5	   1	  529.01
106	    1	    3	 104	    1	   1	  466.95
106	    1	    3	 105	   11	   1	  486.06
106	    1	    3	 106	    1	   1	  463.47
106	    1	    3	 107	    9	   1	  448.90
106	    1	    3	 108	    3	   1	  563.41
106	    1	    3	 109	    3	   1	  610.97
106	    1	    3	 111	    3	   1	  474.29
106	    1	    3	 112	    5	   1	  663.74
106	    1	    3	 113	    7	   1	  633.53
106	    1	    3	 114	    5	   0	  756.14
106	    1	    3	 115	    3	   1	  646.24
106	    1	    3	 116	    3	   1	  493.67
106	    1	    3	 117	    3	   1	  484.52
106	    1	    3	 118	    7	   1	  612.68
106	    1	    3	 119	    1	   1	  422.16
106	    1	    3	 120	    3	   1	  374.65
106	    1	    4	   1	    9	   1	  398.80
106	    1	    4	   2	   11	   1	  331.44
106	    1	    4	   3	    9	   1	  340.26
106	    1	    4	   4	    1	   1	  349.27
106	    1	    4	   5	    7	   1	  315.08
106	    1	    4	   6	   11	   1	  355.03
106	    1	    4	   7	   11	   1	  324.45
106	    1	    4	   8	    5	   1	  792.16
106	    1	    4	   9	   11	   1	  367.47
106	    1	    4	  10	   11	   1	  333.32
106	    1	    4	  11	   11	   1	  319.55
106	    1	    4	  12	    9	   1	  324.79
106	    1	    4	  13	   11	   1	  315.84
106	    1	    4	  14	    9	   1	  335.83
106	    1	    4	  15	    7	   1	  363.87
106	    1	    4	  16	   11	   1	  372.04
106	    1	    4	  17	   11	   1	  315.86
106	    1	    4	  18	    3	   1	  576.04
106	    1	    4	  19	    9	   1	  370.58
106	    1	    4	  20	    7	   1	 1053.90
106	    1	    4	  21	    3	   1	  324.16
106	    1	    4	  22	    1	   1	  364.70
106	    1	    4	  23	    1	   1	  351.27
106	    1	    4	  24	    5	   1	  446.34
106	    1	    4	  25	   11	   1	  380.89
106	    1	    4	  26	    1	   1	  354.27
106	    1	    4	  27	    5	   1	  585.80
106	    1	    4	  28	    7	   0	  535.80
106	    1	    4	  29	    7	   0	  638.58
106	    1	    4	  30	    5	   1	  524.76
106	    1	    4	  31	    1	   1	  290.59
106	    1	    4	  32	    1	   1	  266.25
106	    1	    4	  33	    5	   1	  408.87
106	    1	    4	  34	    7	   0	  325.01
106	    1	    4	  35	    7	   1	  437.17
106	    1	    4	  36	    9	   1	  376.59
106	    1	    4	  37	    3	   1	  378.58
106	    1	    4	  38	    7	   1	  413.47
106	    1	    4	  39	    3	   1	  328.42
106	    1	    4	  40	    9	   1	  402.62
106	    1	    4	  41	    5	   1	  332.62
106	    1	    4	  42	    3	   1	  334.55
106	    1	    4	  43	    9	   1	  350.17
106	    1	    4	  44	    9	   1	  371.19
106	    1	    4	  45	    5	   1	  404.30
106	    1	    4	  46	    7	   1	  409.72
106	    1	    4	  47	   11	   1	  366.00
106	    1	    4	  48	    1	   1	  311.01
106	    1	    4	  49	    3	   1	  566.61
106	    1	    4	  50	   11	   1	  404.02
106	    1	    4	  52	    1	   1	  412.31
106	    1	    4	  53	    5	   0	  345.39
106	    1	    4	  54	   11	   1	  357.80
106	    1	    4	  55	    5	   1	  392.43
106	    1	    4	  56	    9	   1	  351.96
106	    1	    4	  57	    5	   1	  390.88
106	    1	    4	  58	   11	   1	  378.40
106	    1	    4	  59	    9	   1	  414.83
106	    1	    4	  60	    3	   1	  388.50
106	    1	    4	  61	    3	   1	  382.09
106	    1	    4	  62	    5	   1	  364.31
106	    1	    4	  63	    7	   1	  508.60
